productName;buyPrice;priceEach;gross_margin;profit_margin_percentage;margin_classification
1941 Chevrolet Special Deluxe Cabriolet;64.58;85.75;21.17;33;YES
1904 Buick Runabout;52.66;78.99;26.33;50;YES
18th century schooner;82.34;109.37;27.03;33;YES
1912 Ford Model T Delivery Wagon;46.91;83.2;36.29;77;YES
1940 Ford Delivery Sedan;48.64;67.93;19.29;40;YES
The Schooner Bluenose;34;60;26;76;YES
HMS Bounty;39.83;78.75;38.92;98;YES
The Titanic;51.09;100.17;49.08;96;YES
The Queen Mary;53.63;88.39;34.76;65;YES
Boeing X-32A JSF;32.77;39.73;6.96;21;NO
Pont Yacht;33.3;48.59;15.29;46;YES
1980s Black Hawk Helicopter;77.27;149.81;72.54;94;YES
1900s Vintage Bi-Plane;34.25;60.97;26.72;78;YES
1937 Horch 930V Limousine;26.3;61.81;35.51;135;YES
Corsair F4U ( Bird Cage);29.34;65.51;36.17;123;YES
America West Airlines B757-200;68.8;94.73;25.93;38;YES
American Airlines: MD-11S;36.27;74.03;37.76;104;YES
1930 Buick Marquette Phaeton;27.06;37.97;10.91;40;YES
American Airlines: B767-300;51.15;81.29;30.14;59;YES
F/A 18 Hornet 1/72;54.4;70.4;16;29;NO
P-51-D Mustang;49;74.34;25.34;52;YES
1928 British Royal Navy Airplane;66.74;99.57;32.83;49;YES
1900s Vintage Tri-Plane;36.23;70.28;34.05;94;YES
1997 BMW F650 ST;66.92;80.91;13.99;21;NO
1928 Ford Phaeton Deluxe;33.02;65.35;32.33;98;YES
ATA: B757-300;59.33;115.09;55.76;94;YES
1969 Harley Davidson Ultimate Chopper;48.81;82.3;33.49;69;YES
1996 Moto Guzzi 1100i;68.99;116.56;47.57;69;YES
2003 Harley-Davidson Eagle Drag Bike;91.02;191.72;100.7;111;YES
2002 Suzuki XREO;66.27;126.52;60.25;91;YES
1936 Harley Davidson El Knucklehead;24.23;48.46;24.23;100;YES
1997 BMW R 1100 S;60.86;93.54;32.68;54;YES
1960 BSA Gold Star DBD34;37.32;66.27;28.95;78;YES
1957 Vespa GS150;32.95;55.33;22.38;68;YES
1957 Corvette Convertible;69.93;124.99;55.06;79;YES
1982 Ducati 900 Monster;47.1;56.1;9;19;NO
1961 Chevrolet Impala;32.33;75.18;42.85;133;YES
1982 Ducati 996 R;24.14;33.39;9.25;38;YES
1974 Ducati 350 Mk3 Desmo;56.13;81.64;25.51;45;YES
2002 Yamaha YZR M1;34.17;79.73;45.56;133;YES
1968 Ford Mustang;95.34;161.49;66.15;69;YES
1968 Dodge Charger;75.16;111.57;36.41;48;YES
1970 Plymouth Hemi Cuda;31.92;63.84;31.92;100;YES
1969 Dodge Charger;58.73;115.16;56.43;96;YES
1948 Porsche 356-A Roadster;53.9;73.15;19.25;36;YES
1992 Ferrari 360 Spider red;77.9;157.49;79.59;102;YES
1969 Dodge Super Bee;49.05;66.74;17.69;36;YES
1976 Ford Gran Torino;73.49;127.88;54.39;74;YES
1982 Lamborghini Diablo;16.24;33.23;16.99;105;YES
1971 Alpine Renault 1600s;38.58;56.94;18.36;48;YES
1956 Porsche 356A Coupe;98.3;140.43;42.13;43;YES
1993 Mazda RX-7;83.51;114.65;31.14;37;YES
1965 Aston Martin DB5;65.96;113.24;47.28;72;YES
1917 Grand Touring Sedan;86.7;153;66.3;76;YES
1995 Honda Civic;93.89;133.72;39.83;42;YES
1911 Ford Town Car;33.3;59.33;26.03;78;YES
1932 Model A Ford J-Coupe;58.48;119.5;61.02;104;YES
1999 Indy 500 Monte Carlo SS;56.76;106.92;50.16;88;YES
1948 Porsche Type 356 Roadster;62.16;132.8;70.64;114;YES
1932 Alfa Romeo 8C2300 Spider Sport;43.26;83.75;40.49;94;YES
1957 Ford Thunderbird;34.21;69.84;35.63;104;YES
1970 Chevy Chevelle SS 454;49.24;69.82;20.58;42;YES
1966 Shelby Cobra 427 S/C;29.18;46.79;17.61;60;YES
1949 Jaguar XK 120;47.25;79.06;31.81;67;YES
1952 Citroen-15CV;72.82;112.74;39.92;55;YES
1969 Chevrolet Camaro Z28;50.51;84.75;34.24;68;YES
2002 Chevy Corvette;62.11;104.94;42.83;69;YES
1936 Mercedes Benz 500k Roadster;21.75;34.88;13.13;60;YES
1937 Lincoln Berline;60.62;98.63;38.01;63;YES
1936 Mercedes-Benz 500K Special Roadster;24.26;45.82;21.56;89;YES
1928 Mercedes-Benz SSK;72.56;138.38;65.82;91;YES
1939 Chevrolet Deluxe Coupe;22.57;27.88;5.31;24;NO
1938 Cadillac V-16 Presidential Limousine;20.61;36.74;16.13;78;YES
